id,idUsuario,operacion,fechaOperacion
4,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo al usuario con id 5 Octavio Villegas,2022-09-19 02:13:20
5,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com dio de alta un nuevo usuario llamado Eros Gonzalez con email juanlopez666@gmail.com,2022-09-19 04:05:20
6,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com dio de alta un nuevo usuario llamado Eros Gonzalez con email juanlopez666@gmail.com,2022-09-19 04:05:49
7,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com dio de alta un nuevo usuario llamado Eros Gonzalez con email erosgonzalez66@gmail.com,2022-09-19 04:11:21
10,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-19 04:12:26
11,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo al usuario Octavio Villegas con email octaviovillegas@gmail.com,2022-09-19 04:12:29
12,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com modifico el estado del usuario Eros Gonzalez a SUSPENDIDO ,2022-09-19 04:14:23
13,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-19 04:14:31
14,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com modifico el estado del usuario Eros Gonzalez a ACTIVO ,2022-09-19 04:14:37
15,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo al usuario Octavio Villegas con email octaviovillegas@gmail.com,2022-09-19 04:14:42
16,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-19 04:14:48
17,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo al usuario Octavio Villegas con email octaviovillegas@gmail.com,2022-09-22 16:38:43
18,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-22 22:28:11
19,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-22 22:29:44
20,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-22 22:41:02
21,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo al usuario Octavio Villegas con email octaviovillegas@gmail.com,2022-09-23 02:42:51
22,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-23 02:42:55
23,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com creo un nuevo pedido con el codigo 95O:E para la mesa ,2022-09-23 03:06:25
24,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com creo un nuevo pedido con el codigo S0:GG para la mesa ,2022-09-23 03:17:36
25,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com creo un nuevo pedido con el codigo 8[R61 para la mesa 0GI28,2022-09-23 03:18:06
26,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com cargo un producto Milanesa con Papas al pedido con codigo  para la mesa ,2022-09-23 03:36:54
27,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com cargo un producto Milanesa con Papas al pedido con codigo  para la mesa ,2022-09-23 03:37:49
28,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com cargo un producto Milanesa con Papas al pedido con codigo 8[R61 para la mesa 0GI28,2022-09-23 03:38:22
29,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-25 20:28:59
30,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo a todos los usuarios activos ,2022-09-25 20:56:32
31,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com listo al usuario Octavio Villegas con email octaviovillegas@gmail.com,2022-09-25 20:56:39
32,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 20:59:59
33,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:03:23
34,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:04:58
35,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:05:06
36,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:05:20
37,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:05:28
38,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:06:21
39,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:06:54
40,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:08:00
41,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:08:08
42,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:08:12
43,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:08:23
44,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:10:59
45,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:11:12
46,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:12:09
47,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:13:23
48,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8[R61,2022-09-25 21:13:35
49,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:16:01
50,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:16:47
51,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:19:10
52,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:20:33
53,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:21:24
54,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:24:34
55,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:26:09
56,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:26:25
57,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:51:52
58,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:58:33
59,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 21:59:02
60,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:01:42
61,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:02:15
62,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:06:50
63,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:08:13
64,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:08:32
65,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:19:24
66,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:19:53
67,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:20:12
68,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:21:01
69,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 22:22:57
70,5,El socio Octavio Villegas con mail octaviovillegas@gmail.com saco una foto de la mesa con codigo 0GI28 para el pedido 8SR61,2022-09-25 23:51:00
